,index,Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min.1,Evap,Solar,ETo,RH max,min.2
SAN_DIEGO.A,62,20020303,2359,0.0,,67,38,,,,,,,61.0,52.0,,516,,,,
SAN_DIEGO.A,63,20020304,2359,0.0,,75,37,,,,,,,60.0,50.0,,526,,,,
SAN_DIEGO.A,64,20020305,2359,0.0,,69,40,,,,,,,61.0,51.0,,483,,,,
SAN_DIEGO.A,65,20020306,2359,0.0,,67,43,,,,,,,60.0,53.0,,360,,,,
SAN_DIEGO.A,66,20020307,2359,0.13,,62,53,,,,,,,60.0,57.0,,151,,,,
SAN_DIEGO.A,67,20020308,2359,0.13,,61,44,,,,,,,62.0,56.0,,436,,,,
SAN_DIEGO.A,68,20020309,2359,0.0,,74,41,,,,,,,63.0,53.0,,512,,,,
SAN_DIEGO.A,69,20020310,2359,0.0,,68,45,,,,,,,63.0,54.0,,527,,,,
SAN_DIEGO.A,70,20020311,2359,0.0,,71,45,,,,,,,65.0,55.0,,526,,,,
SAN_DIEGO.A,71,20020312,2359,0.0,,69,50,,,,,,,67.0,58.0,,513,,,,
SAN_DIEGO.A,72,20020313,2359,0.0,,64,53,,,,,,,64.0,59.0,,290,,,,
SAN_DIEGO.A,73,20020314,2359,0.0,,59,40,,,,,,,61.0,55.0,,533,,,,
SAN_DIEGO.A,74,20020315,2359,0.05,,62,44,,,,,,,62.0,53.0,,536,,,,
SAN_DIEGO.A,75,20020316,2359,0.02,,57,46,,,,,,,60.0,55.0,,441,,,,
SAN_DIEGO.A,76,20020317,2359,0.3,,59,43,,,,,,,61.0,53.0,,464,,,,
SAN_DIEGO.A,77,20020318,2359,0.05,,59,42,,,,,,,60.0,53.0,,551,,,,
SAN_DIEGO.A,78,20020319,2359,0.0,,67,40,,,,,,,62.0,52.0,,575,,,,
SAN_DIEGO.A,79,20020320,2359,0.0,,73,43,,,,,,,64.0,53.0,,581,,,,
SAN_DIEGO.A,80,20020321,2359,0.0,,77,44,,,,,,,64.0,55.0,,475,,,,
SAN_DIEGO.A,81,20020322,2359,0.0,,65,45,,,,,,,65.0,56.0,,552,,,,
SAN_DIEGO.A,82,20020323,2359,0.06,,63,50,,,,,,,64.0,58.0,,446,,,,
SAN_DIEGO.A,83,20020324,2359,0.19,,60,47,,,,,,,64.0,58.0,,478,,,,
SAN_DIEGO.A,84,20020325,2359,0.0,,63,45,,,,,,,65.0,56.0,,561,,,,
SAN_DIEGO.A,85,20020326,2359,0.0,,64,44,,,,,,,66.0,56.0,,560,,,,
SAN_DIEGO.A,86,20020327,2359,0.0,,58,47,,,,,,,60.0,58.0,,127,,,,
SAN_DIEGO.A,87,20020328,2359,0.0,,58,51,,,,,,,59.0,59.0,,188,,,,
SAN_DIEGO.A,88,20020329,2359,0.0,,62,46,,,,,,,63.0,57.0,,306,,,,
SAN_DIEGO.A,89,20020330,2359,0.0,,62,53,,,,,,,65.0,58.0,,397,,,,
SAN_DIEGO.A,90,20020331,2359,0.0,,63,52,,,,,,,67.0,60.0,,474,,,,
SAN_DIEGO.A,91,20020401,2359,0.0,,64,52,,,,,,,67.0,60.0,,493,,,,
SAN_DIEGO.A,92,20020402,2359,0.0,,62,54,,,,,,,68.0,61.0,,475,,,,
SAN_DIEGO.A,93,20020403,2359,0.0,,60,52,,,,,,,65.0,61.0,,286,,,,
SAN_DIEGO.A,94,20020404,2359,0.0,,63,50,,,,,,,68.0,60.0,,586,,,,
SAN_DIEGO.A,95,20020405,2359,0.0,,64,46,,,,,,,64.0,59.0,,296,,,,
SAN_DIEGO.A,96,20020406,2359,0.07,,62,52,,,,,,,64.0,59.0,,372,,,,
SAN_DIEGO.A,97,20020407,2359,0.0,,64,50,,,,,,,67.0,58.0,,484,,,,
SAN_DIEGO.A,98,20020408,2359,0.0,,65,54,,,,,,,69.0,61.0,,522,,,,
SAN_DIEGO.A,99,20020409,2359,0.0,,66,55,,,,,,,69.0,62.0,,501,,,,
SAN_DIEGO.A,100,20020410,2359,0.0,,68,53,,,,,,,70.0,63.0,,545,,,,
SAN_DIEGO.A,101,20020411,2359,0.0,,69,55,,,,,,,71.0,63.0,,613,,,,
SAN_DIEGO.A,102,20020412,2359,0.0,,66,55,,,,,,,70.0,64.0,,498,,,,
SAN_DIEGO.A,103,20020413,2359,0.0,,75,55,,,,,,,71.0,64.0,,534,,,,
SAN_DIEGO.A,104,20020414,2359,0.0,,69,55,,,,,,,72.0,64.0,,570,,,,
SAN_DIEGO.A,105,20020415,2359,0.07,,58,54,,,,,,,67.0,63.0,,158,,,,
SAN_DIEGO.A,106,20020416,2359,0.0,,63,49,,,,,,,67.0,61.0,,449,,,,
SAN_DIEGO.A,107,20020417,2359,0.0,,62,52,,,,,,,67.0,62.0,,433,,,,
SAN_DIEGO.A,108,20020418,2359,0.0,,63,47,,,,,,,69.0,60.0,,647,,,,
SAN_DIEGO.A,109,20020419,2359,0.0,,64,46,,,,,,,67.0,60.0,,574,,,,
SAN_DIEGO.A,110,20020420,2359,0.0,,64,49,,,,,,,68.0,59.0,,638,0.18,94.0,65.0,
SAN_DIEGO.A,111,20020421,2359,0.0,,67,48,,,,,,,68.0,59.0,,653,0.2,97.0,51.0,
SAN_DIEGO.A,112,20020422,2359,0.0,,71,50,,,,,,,68.0,59.0,,672,0.21,96.0,47.0,
SAN_DIEGO.A,113,20020423,2359,0.0,,73,54,,,,,,,70.0,61.0,,636,0.2,99.0,51.0,
SAN_DIEGO.A,114,20020424,2359,0.0,,64,55,,,,,,,66.0,63.0,,200,0.05,96.0,72.0,
SAN_DIEGO.A,115,20020425,2359,0.0,,65,54,,,,,,,69.0,61.0,,659,0.19,90.0,66.0,
SAN_DIEGO.A,116,20020426,2359,0.0,,64,50,,,,,,,66.0,64.0,,294,0.08,97.0,73.0,
SAN_DIEGO.A,117,20020427,2359,0.0,,62,52,,,,,,,65.0,60.0,,389,0.11,85.0,63.0,
SAN_DIEGO.A,118,20020428,2359,0.0,,67,49,,,,,,,69.0,58.0,,674,0.2,89.0,57.0,
SAN_DIEGO.A,119,20020429,2359,0.0,,66,50,,,,,,,70.0,59.0,,682,0.2,97.0,55.0,
SAN_DIEGO.A,120,20020430,2359,0.0,,62,53,,,,,,,69.0,62.0,,437,0.13,95.0,59.0,
SAN_DIEGO.A,121,20020501,2359,0.0,,63,50,,,,,,,66.0,63.0,,604,0.18,85.0,57.0,
